project_district,project_type,budget_amount,estimated_cost,actual_cost
11,SCA CIP,85830,21207,21207
11,SCA CIP,343320,100683,91521
11,SCA CIP,6437250,6190398,1605299
11,SCA CIP,400540,259481,249358
11,SCA IEH,IEH,34231,2612
11,SCA IEH,IEH,33181,7452
11,SCA CIP,17023,3918,3918
11,SCA CIP,68092,15675,15675
11,SCA CIP,1276730,1276730,6612
11,SCA CIP,79441,79441,8343
11,SCA CIP,9751,1260,1260
11,SCA CIP,35755,35755,5043
11,SCA CIP,378681,378681,125
11,SCA CIP,135398,135398,2894
11,SCA CIP RESOA,0,31892,31892
11,SCA CIP RESOA,17994,96526,7442
11,SCA CIP RESOA,263919,1883470,4460
11,SCA CIP RESOA,17994,128418,4988
11,SCA CIP RESOA,0,11470,11470
11,SCA CIP RESOA,15000,37803,35900
25,SCA CIP RESOA,PNB,0,0
11,SCA CIP RESOA,220000,496888,1489
11,SCA CIP RESOA,15000,33879,5414
11,SCA CIP RESOA,0,8162,8162
3,DOE- RESOA,100000,100000,0
3,SCA CIP,83137,83772,83772
3,SCA CIP,324093,293859,287572
3,SCA CIP,5317944,5093694,4470254
3,SCA CIP,497882,507927,504667
3,SCA CIP,20055,62215,58703
3,SCA CIP,80220,94609,93349
3,SCA CIP,1504125,1436867,658317
3,SCA CIP,93590,114676,112904
3,SCA CIP RESOA,0,0,0
3,SCA CIP RESOA,30000,30000,0
3,SCA CIP RESOA,440000,440000,0
3,SCA CIP RESOA,30000,30000,0
3,SCA CIP,167234,230822,225388
3,SCA CIP,668934,489175,407782
3,SCA CIP,12542503,13179953,1891072
3,SCA CIP,780422,459232,416551
3,SCA CIP RESOA,0,0,0
3,SCA CIP RESOA,23700,23700,0
3,SCA CIP RESOA,347600,347600,0
3,SCA CIP RESOA,23700,23700,0
3,SCA IEH,IEH,59171,3878
3,DOE- RESOA,80000,45383,45383
3,DOE- RESOA,212338,212338,212338
3,DOE- RESOA,159722,159722,159722
3,SCA CIP,76655,76655,133
3,SCA CIP,298599,298599,532
3,SCA CIP,4878719,4878719,0
3,SCA CIP,462017,462017,0
3,SCA CIP,47478,109824,109824
3,SCA CIP,188990,381113,381053
3,SCA CIP,3460812,3457356,3275679
3,SCA CIP,233548,622630,617620
3,SCA CIP,8069,1072,1072
3,SCA CIP,29585,29585,4284
3,SCA CIP,313329,313329,0
3,SCA CIP,72617,72617,3544
3,SCA CIP RESOA,0,28760,10954
3,SCA CIP RESOA,35640,53942,30019
3,SCA CIP RESOA,522720,522720,23687
3,SCA CIP RESOA,35640,35640,4441
3,SCA CIP RESOA,0,9595,9595
3,SCA CIP RESOA,15600,14265,14265
3,SCA CIP RESOA,228800,228800,1333
3,SCA CIP RESOA,59155,46660,5345
3,SCA IEH,IEH,8458,2958
3,SCA CIP RESOA,0,26994,19600
3,SCA CIP RESOA,33195,26681,24582
3,SCA CIP RESOA,486853,240503,5909
3,SCA CIP RESOA,33195,27671,11913
3,SCA IEH,IEH,170689,2060
3,SCA IEH,IEH,726,726
3,SCA IEH,IEH,13007,2910
3,SCA IEH,IEH,155268,4220
3,SCA IEH,IEH,18740,822
3,SCA IEH,IEH,56829,2930
3,SCA Capacity,1860643,867150,867150
3,Fast Track Projects,FTK,194008,93033
3,SCA CIP,36638,51770,51770
3,SCA CIP,146554,134378,132128
3,SCA CIP,2747885,2491935,490866
3,SCA CIP,170979,258465,258024
3,SCA CIP RESOA,0,0,0
3,SCA CIP RESOA,60000,60000,0
3,SCA CIP RESOA,880000,880000,0
3,SCA CIP RESOA,60000,60000,0
3,SCA IEH,IEH,43542,2550
3,SCA CIP,105658,93813,90074
3,SCA CIP,414527,356171,354884
3,SCA CIP,7045076,6124417,4253072
3,SCA CIP,598414,774623,761652
3,SCA CIP RESOA,0,11124,11124
3,SCA CIP RESOA,28500,34426,4763
3,SCA CIP RESOA,418000,668065,3331
3,SCA CIP RESOA,28500,45550,8142
3,DIIT - RESOA,35000,34737,34737
3,DOE - Lead Paint,DOEL,589,589
3,DOE- RESOA,54000,54000,0
3,DOE - Skilled Trades,DOES,170000,1645
3,SCA CIP,75000,75000,5180
3,SCA CIP,300000,300000,20724
3,SCA CIP,5625000,5625000,0
3,SCA CIP,350000,350000,916
3,SCA CIP RESOA,0,0,0
3,SCA CIP RESOA,30180,30180,0
3,SCA CIP RESOA,442640,442640,0
3,SCA CIP RESOA,30180,30180,0
3,SCA IEH,IEH,12562,2026
3,SCA IEH,IEH,436,436
3,DOE- RESOA,148499,148499,0
3,DOE- RESOA,327553,327553,295387
3,SCA IEH,IEH,91053,66200
3,SCA IEH,IEH,38010,3390
3,DOE- RESOA,115418,115418,115418
3,SCA CIP,34950,50730,47750
3,SCA CIP,139800,79314,79314
3,SCA CIP,2621250,2373361,11761
3,SCA CIP,163100,77910,77492
3,DOE - Skilled Trades,DOES,170000,1335
3,SCA CIP RESOA,0,7733,7733
3,SCA CIP RESOA,18000,31828,24774
3,SCA CIP RESOA,264000,175887,1411
3,SCA CIP RESOA,79648,83248,13878
3,SCA CIP RESOA,0,0,0
3,SCA CIP RESOA,18000,18000,0
3,SCA CIP RESOA,264000,264000,0
3,SCA CIP RESOA,18000,18000,0
3,DOE - Skilled Trades,DOES,58293,58293
3,SCA CIP RESOA,0,158612,158265
3,SCA CIP RESOA,44460,124220,124220
3,SCA CIP RESOA,652080,889392,8496
3,SCA CIP RESOA,44460,60640,19570
3,SCA IEH,IEH,1278,778
3,DOE - Skilled Trades,DOES,279820,279820
3,SCA CIP RESOA,0,0,0
3,SCA CIP RESOA,21000,21000,0
3,SCA CIP RESOA,308000,308000,0
3,SCA CIP RESOA,21000,21000,0
3,SCA Capacity,5954058,4971231,4574468
3,SCA Capacity,83505659,75495211,71573432
3,SCA Capacity,11759264,4869606,3207485
3,SCA CIP,31295,56429,46454
3,SCA CIP,120074,141154,90468
11,SCA CIP RESOA,15000,32855,30664
11,SCA CIP RESOA,220000,157237,14824
11,SCA CIP RESOA,15000,14691,5351
11,SCA CIP RESOA,0,11095,11095
11,SCA CIP RESOA,24000,7449,7449
11,SCA CIP RESOA,352000,352000,1192
11,SCA CIP RESOA,24000,24000,3204
11,SCA IEH,IEH,56654,13774
11,DOE- RESOA,75000,75000,0
11,SCA IEH,IEH,254355,5784
11,SCA IEH,IEH,1382,882
11,DIIT - RESOA,35000,34738,34738
11,DIIT - RESOA,135000,133984,133984
11,DIIT - RESOA,104000,103220,103220
11,SCA CIP,25078,15039,15039
11,SCA CIP,100314,78258,45474
11,SCA CIP,1880885,1880885,16787
11,SCA CIP,117033,117033,17876
11,SCA CIP,119507,14713,14713
11,SCA CIP,474032,474032,67035
11,SCA CIP,8529844,8529844,2536
11,SCA CIP,609589,609589,9495
11,SCA CIP RESOA,0,68,68
11,SCA CIP RESOA,27000,26932,273
11,SCA CIP RESOA,396000,396000,0
11,SCA CIP RESOA,27000,27000,0
11,SCA CIP,41805,58135,57257
11,SCA CIP,167220,141079,126708
11,SCA CIP,3135375,3003259,2719397
11,SCA CIP,195090,284798,281912
11,SCA IEH,IEH,36576,2326
11,SCA IEH,IEH,1136,636
11,DIIT - RESOA,100000,99358,99358
11,SCA CIP,4803,2080,2080
11,SCA CIP,17612,17612,8319
11,SCA CIP,186532,186532,7210
11,SCA CIP,94894,94894,2652
11,SCA CIP RESOA,0,0,0
11,SCA CIP RESOA,34500,34500,0
11,SCA CIP RESOA,506000,506000,0
11,SCA CIP RESOA,34500,34500,0
11,SCA IEH,IEH,83894,7548
11,SCA CIP,81345,77267,77267
11,SCA CIP,325380,460008,410872
11,SCA CIP,6100875,5679773,3942550
11,SCA CIP,379610,449664,447777
11,SCA IEH,IEH,113131,3360
11,SCA IEH,IEH,170308,7310
11,SCA IEH,IEH,46667,5328
11,SCA IEH,IEH,38127,1576
11,SCA IEH,IEH,1294,794
11,DIIT - RESOA,100000,99246,99246
11,DIIT - RESOA,100000,99246,99246
11,DIIT - RESOA,50000,49622,49622
11,SCA CIP RESOA,0,13265,13265
11,SCA CIP,1322730,1322730,3896
11,SCA CIP RESOA,32027,36696,32333
11,SCA CIP RESOA,469735,344564,215416
11,SCA CIP RESOA,32027,49501,27319
11,SCA CIP RESOA,0,53982,53427
11,SCA CIP RESOA,118125,73140,73140
11,SCA CIP RESOA,1732500,1604037,13637
11,SCA CIP RESOA,118125,32829,32829
11,SCA IEH,IEH,13253,4452
11,SCA CIP,41557,41557,1478
11,SCA CIP,166227,166227,5911
11,SCA CIP,3116753,3116753,0
11,SCA CIP,193931,193931,0
11,SCA IEH,IEH,259729,9721
11,DIIT - RESOA,80000,79396,79396
11,SCA CIP RESOA,0,22682,22682
11,SCA CIP RESOA,77756,114664,111313
11,SCA CIP RESOA,1140426,1140426,7753
11,SCA CIP RESOA,77756,77756,26161
11,DIIT - RESOA,733000,733000,0
11,Trust For Public Lan,50000,50000,50000
11,Trust For Public Lan,150000,150000,150000
