project_district,project_type,budget_amount,estimated_cost,actual_cost
19,SCA CIP RESOA,0,0,0
19,SCA CIP RESOA,12000,12000,0
19,SCA CIP RESOA,176000,176000,0
19,SCA CIP RESOA,12000,12000,0
19,SCA CIP RESOA,0,0,0
19,SCA CIP RESOA,18000,18000,0
19,SCA CIP RESOA,264000,264000,0
19,SCA CIP RESOA,18000,18000,0
19,DIIT - RESOA,90000,89325,89325
19,DIIT - RESOA,90000,89324,89324
19,DOE - Lead Paint,DOEL,379,379
19,SCA IEH,IEH,172601,10634
19,DOE - Skilled Trades,DOES,21598,21598
19,SCA IEH,IEH,4541,1191
19,SCA IEH,IEH,10018,1018
19,DIIT - PBX Telephone,DIIX,160553,160553
19,DOE - Skilled Trades,DOES,116000,106440
19,SCA CIP,43973,56897,56583
19,SCA CIP,175890,152473,151896
19,SCA CIP,3297938,3052175,2264256
19,SCA CIP,205205,318346,316922
19,SCA CIP,5685,14899,14899
19,SCA CIP,20845,26030,24109
19,SCA CIP,220768,202653,126941
19,SCA CIP,51165,29830,18280
19,SCA CIP,39090,35942,20822
19,SCA CIP,156360,106402,88019
19,SCA CIP,2931750,2791185,104465
19,SCA CIP,182420,85811,84415
19,SCA IEH,IEH,77133,16083
19,SCA IEH,IEH,51970,7369
19,SCA IEH,IEH,105407,3712
19,SCA IEH,IEH,10466,2166
19,SCA Furniture & Equi,104000,104000,103776
30,SCA CIP,149940,215288,192799
30,SCA CIP,2811375,2786048,2064207
30,SCA CIP,174930,136773,99089
30,SCA IEH,IEH,43818,4380
30,DIIT - RESOA,35000,34725,34725
30,DOE- RESOA,50000,50000,0
30,DOE - Skilled Trades,DOES,170000,544
30,SCA CIP,11670,14161,14161
30,SCA CIP,42790,57516,57516
30,SCA CIP,453185,398353,328411
30,SCA CIP,105030,56065,14053
30,DIIT - RESOA,50000,49620,49620
30,SCA CIP,215551,194742,191942
30,SCA CIP,862206,580683,444773
30,SCA CIP,16166358,16166358,1500
30,SCA CIP,1005907,1005907,23254
30,SCA CIP,29341,41876,41876
30,SCA CIP,117364,123655,81314
30,SCA CIP,2200574,2200574,0
30,SCA CIP,136925,136925,8889
30,SCA CIP,276492,176204,175673
30,SCA CIP,1105968,1368069,1078616
30,SCA CIP,20736900,20578319,18156269
30,SCA CIP,1290296,758459,710506
30,DIIT - RESOA,60000,59550,59550
30,SCA CIP RESOA,0,0,0
30,SCA CIP RESOA,24000,24000,0
30,SCA CIP RESOA,352000,352000,0
30,SCA CIP RESOA,24000,24000,0
30,DIIT - RESOA,105000,104213,104213
30,DIIT - RESOA,35000,34717,34717
30,DOE - Skilled Trades,DOES,75312,75312
30,SCA Capacity,2131092,657106,622128
30,SCA Capacity,6819496,2637247,2323915
30,SCA Capacity,95643429,95643429,167498
30,SCA Capacity,13468504,13468504,115846
30,SCA CIP RESOA,0,20000,6958
30,SCA CIP RESOA,15000,28771,6258
30,SCA CIP RESOA,220000,220000,0
30,SCA CIP RESOA,15000,15000,6398
30,DOE - Skilled Trades,DOES,759375,0
30,SCA CIP RESOA,0,0,0
30,SCA CIP RESOA,30000,30000,0
30,SCA CIP RESOA,440000,440000,0
30,SCA CIP RESOA,30000,30000,0
30,SCA CIP RESOA,0,0,0
30,SCA CIP RESOA,22500,22500,0
30,SCA CIP RESOA,330000,330000,0
30,SCA CIP RESOA,22500,22500,0
30,DIIT - RESOA,35000,34735,34735
30,DIIT - RESOA,35000,34738,34738
30,DOE - Skilled Trades,DOES,239910,0
30,SCA CIP,234110,133861,133861
30,SCA CIP,936442,936442,13389
30,SCA CIP,17558280,17558280,2342
30,SCA CIP,1092515,1092515,6375
30,SCA CIP,936584,388666,376916
30,SCA CIP,3734831,2168524,1788233
30,SCA CIP,68995679,68995679,56632
30,SCA CIP,4520264,4520264,109861
30,SCA IEH,IEH,9624,1518
30,Fast Track Projects,FTK,18581329,18436577
30,PRE-K,206217,81165,81165
30,PRE-K,659895,678027,658010
30,PRE-K,9255032,8418834,7488662
30,PRE-K,1417116,1482786,1315899
31,SCA CIP,193294,227113,225118
31,SCA CIP,763223,709808,144205
31,SCA CIP,13417186,12401037,4623249
31,SCA CIP,1031425,263034,260219
31,SCA CIP,1080,0,0
31,SCA CIP,3960,0,0
31,SCA CIP,41940,41940,0
31,SCA CIP,9720,9720,469
31,SCA CIP RESOA,0,0,0
31,SCA CIP RESOA,6000,6000,0
31,SCA CIP RESOA,88000,88000,0
31,SCA CIP RESOA,6000,6000,0
31,SCA IEH,IEH,20428,928
31,SCA IEH,IEH,46083,2592
31,DIIT - RESOA,60000,60000,59550
31,DOE- RESOA,69238,69238,69238
31,SCA CIP RESOA,0,12760,12760
31,SCA CIP RESOA,32291,57169,48675
31,SCA CIP RESOA,473602,440247,262020
31,SCA CIP RESOA,60077,79074,38583
31,SCA CIP RESOA,0,0,0
31,SCA CIP RESOA,36000,36000,0
31,SCA CIP RESOA,528000,528000,0
31,SCA CIP RESOA,36000,36000,0
31,SCA CIP RESOA,0,1855,1855
31,SCA CIP RESOA,28500,26645,7423
31,SCA CIP RESOA,418000,418000,1104
31,SCA CIP RESOA,72994,47817,3323
31,SCA IEH,IEH,233988,5450
31,SCA IEH,IEH,184326,1770
31,DOE- RESOA,155000,153563,153563
31,SCA CIP RESOA,0,6950,6950
31,SCA CIP RESOA,14586,27840,24570
31,SCA CIP RESOA,213932,195050,100160
31,SCA CIP RESOA,14586,22372,16578
31,SCA CIP RESOA,0,34,34
31,SCA CIP RESOA,24000,23966,137
31,SCA CIP RESOA,352000,352000,0
31,SCA CIP RESOA,24000,24000,0
31,SCA CIP RESOA,0,1338,1338
31,SCA CIP RESOA,11400,5436,5436
31,SCA CIP RESOA,167200,167200,963
31,SCA CIP RESOA,11400,11400,3776
31,SCA CIP,23623,16676,16676
31,SCA CIP,86616,66870,66870
25,SCA CIP,229456,229456,0
31,SCA CIP,917343,848836,248736
31,SCA CIP,212603,102905,45826
31,DIIT - RESOA,75000,74436,74436
31,DIIT - RESOA,60000,59550,59550
31,SCA CIP,35237,128129,125116
31,SCA CIP,140949,111324,106507
31,SCA CIP,2642789,2642789,23106
31,SCA CIP,164440,164440,32736
31,SCA CIP RESOA,0,36180,36180
24,SCA CIP,389565,225098,161758
24,SCA CIP,6655182,5921164,19264
24,SCA CIP,556958,68270,52016
24,SCA IEH,IEH,22334,4624
24,SCA CIP,16665,22764,22764
24,SCA CIP,66660,65796,56791
24,SCA CIP,1249876,1249876,19601
24,SCA CIP,77770,77770,18456
24,DIIT - RESOA,35000,34735,34735
24,SCA CIP,100728,127795,127795
24,SCA CIP,402910,252373,237364
24,SCA CIP,7554579,7554579,31923
24,SCA CIP,470062,470062,54357
24,SCA IEH,IEH,7698,598
24,DIIT - Project Conne,DIIT,924338,924338
24,DIIT - RESOA,35000,34733,34733
24,DOE - Lead Paint,DOEL,4648,4148
24,DOE- RESOA,0,6090,0
24,SCA CIP,27750,18390,18390
24,SCA CIP,83250,87980,87980
24,SCA CIP,1059125,995432,846190
24,SCA CIP,212750,182922,160419
24,DIIT - RESOA,35000,34735,34735
24,DOE - Skilled Trades,DOES,179675,179675
24,DOE - Skilled Trades,DOES,2595,2595
24,SCA CIP,82038,56497,56497
24,SCA CIP,319422,148410,138162
24,SCA CIP,5205430,4948284,4549567
24,SCA CIP,496368,321940,301605
24,DIIT - RESOA,35000,34738,34738
24,SCA CIP,21764,59614,58681
24,SCA CIP,87057,163496,163496
24,SCA CIP,1632321,1632321,23069
24,SCA CIP,101567,101567,11804
24,SCA IEH,IEH,835,835
24,DOE - Skilled Trades,DOES,250516,250516
24,SCA IEH,IEH,1148,648
24,SCA IEH,IEH,284969,5844
24,SCA IEH,IEH,63036,3232
24,DIIT - RESOA,35000,34737,34737
24,DOE - Lead Paint,DOEL,31258,31258
24,DOE - Lead Paint,DOEL,436,436
24,DOE- RESOA,0,6090,0
24,SCA CIP RESOA,0,0,0
24,SCA CIP RESOA,7200,7200,0
24,SCA CIP RESOA,105600,105600,0
24,SCA CIP RESOA,7200,7200,0
24,SCA IEH,IEH,21832,488
24,DIIT - RESOA,35000,34737,34737
24,SCA CIP,92357,122187,106531
24,SCA CIP,369429,369429,138943
24,SCA CIP,6926792,6926792,8135
24,SCA CIP,109360,103875,103187
24,SCA CIP,423859,217670,209712
24,SCA CIP,6728231,6728231,43601
24,SCA CIP,686935,686935,5340
24,SCA IEH,IEH,0,0
24,DIIT - Project Conne,DIIT,29437,0
24,DOE- RESOA,35000,35000,0
24,SCA CIP,41655,3653,3653
24,SCA CIP,166620,169566,169056
24,SCA CIP,3124125,2933171,2515024
24,SCA CIP,194390,361413,328205
24,DOE- RESOA,35000,35000,0
24,DOE- RESOA,100000,123107,123107
24,SCA CIP RESOA,0,0,0
24,SCA CIP RESOA,3000,3000,0
24,SCA CIP RESOA,44000,44000,0
24,SCA CIP RESOA,3000,3000,0
24,SCA CIP RESOA,0,0,0
24,SCA CIP RESOA,6000,6000,0
24,SCA CIP RESOA,88000,88000,0
24,SCA CIP RESOA,6000,6000,0
24,SCA IEH,IEH,15887,1164
24,DOE - Skilled Trades,DOES,352526,352526
24,DOE - Skilled Trades,DOES,170000,1849
24,SCA Capacity,2095000,1396991,1396990
24,SCA Capacity,6704000,4008281,3157972
24,SCA Capacity,94023600,85807542,78517802
24,SCA Capacity,13240400,6813423,4252844
24,SCA Capacity,2199500,2156346,406164
24,SCA Capacity,7038400,4735900,462295
24,SCA Capacity,98713560,89086132,1343518
24,SCA Capacity,13900840,5256727,835702
24,SCA CIP,40320,5133,5133
24,SCA CIP,161280,198227,21327
24,SCA CIP,3024000,2745114,2211933
24,SCA CIP,188160,142920,103031
24,SCA IEH,IEH,2040,1290
24,SCA IEH,IEH,150630,7238
24,DOE - Skilled Trades,DOES,133018,133018
24,DOE - Skilled Trades,DOES,170000,2275
24,SCA CIP,72697,112877,112538
24,SCA CIP,278306,158512,154124
24,SCA CIP,3435861,3601284,35
24,SCA CIP,501562,8588,8159
24,DIIT - RESOA,70000,69474,69474
24,SCA CIP,35698,14911,14911
24,SCA CIP,130892,81035,74663
24,SCA CIP,1386261,1386261,21453
24,SCA CIP,321279,321279,11448
24,SCA CIP,21120,71541,67411
24,SCA CIP,84480,109628,109594
24,SCA CIP,1584000,1433530,16530
24,SCA CIP,98560,19487,19487
24,SCA CIP,101155,31540,31540
24,SCA CIP,404621,404621,126260
24,SCA CIP,7586636,7586636,0
24,SCA CIP,472057,472057,10716
24,SCA IEH,IEH,18344,2656
24,DOE- RESOA,0,6090,0
24,SCA IEH,IEH,69186,53390
24,SCA IEH,IEH,16224,2112
24,DOE- RESOA,140000,140000,66163
24,DOE - Skilled Trades,DOES,170000,2134
24,SCA CIP,3691,1734,1734
24,SCA CIP,13534,13534,6936
24,SCA CIP,143337,143337,0
24,SCA CIP,77714,77714,867
24,SCA Capacity,795525,438704,418035
24,SCA Capacity,2545680,1846921,1543769
24,SCA Capacity,35703162,32807349,1614843
24,SCA Capacity,5027718,1767561,155071
24,DOE - Skilled Trades,DOES,110321,25113
19,DIIT - Project Conne,DIIT,132702,0
19,DIIT - Project Conne,DIIT,13270,0
19,DCAS/NYPA,2156530,2156530,2156530
19,DIIT - RESOA,105000,104208,104208
19,DOE - Lead Paint,DOEL,51033,51033
19,DOE - Lead Paint,DOEL,349,349
19,DIIT - Project Conne,DIIT,263142,0
19,DIIT - RESOA,100000,98931,98931
19,SCA CIP,61275,79060,72526
19,SCA CIP,233049,164314,116700
19,SCA CIP,3288200,2949452,30103
19,SCA CIP,442599,54762,54762
19,SCA CIP RESOA,0,12826,12826
19,SCA CIP RESOA,18000,28292,26961
19,SCA CIP RESOA,264000,264000,9512
19,SCA CIP RESOA,18000,18000,7198
19,SCA IEH,IEH,14804,4917
19,DIIT - Project Conne,DIIT,27465,0
19,SCA CIP,21210,27516,27516
19,SCA CIP,77770,112547,110154
19,SCA CIP,823655,765951,707792
19,SCA CIP,190890,460817,460196
19,SCA CIP,10410,10854,264
19,SCA CIP,38170,46755,5902
19,SCA CIP,404255,560203,713
19,SCA CIP,93690,52341,11463
19,SCA CIP,17315,11181,11181
19,SCA CIP,63490,44753,44753
19,SCA CIP,672417,672417,7813
19,SCA CIP,155839,155839,5354
19,SCA CIP RESOA,0,0,0
19,SCA CIP RESOA,6000,6000,0
19,SCA CIP RESOA,88000,88000,0
19,SCA CIP RESOA,6000,6000,0
19,Fast Track Projects,FTK,1611998,1594292
19,DIIT - Project Conne,DIIT,617990,0
19,SCA CIP RESOA,0,0,0
19,SCA CIP RESOA,3000,3000,0
19,SCA CIP RESOA,44000,44000,0
19,SCA CIP RESOA,3000,3000,0
19,SCA CIP,26010,40994,40994
19,SCA CIP,95370,111903,111903
19,SCA CIP,1010055,891245,448432
19,SCA CIP,234090,201194,200822
19,SCA CIP,4101,1063,1063
19,SCA CIP,15038,15038,4251
19,SCA CIP,159264,159264,46
19,SCA CIP,36911,36911,4476
19,SCA CIP RESOA,0,348,348
19,SCA CIP RESOA,16500,26954,1394
19,SCA CIP RESOA,242000,400431,0
19,SCA CIP RESOA,16500,27302,0
19,SCA CIP RESOA,0,0,0
19,SCA CIP RESOA,3000,3000,0
19,SCA CIP RESOA,44000,44000,0
19,SCA CIP RESOA,3000,3000,0
19,SCA CIP RESOA,0,0,0
19,SCA CIP RESOA,4800,4800,0
19,SCA CIP RESOA,70400,70400,0
19,SCA CIP RESOA,4800,4800,0
19,DIIT - RESOA,70000,69474,69474
19,SCA CIP,10068,2255,2255
19,SCA CIP,36917,9017,9017
19,SCA CIP,390983,390983,16500
19,SCA CIP,159904,159904,11962
19,SCA CIP,5880,686,686
19,SCA CIP,21560,21560,2745
19,SCA CIP,228340,228340,0
19,SCA CIP,52920,52920,0
19,SCA CIP,19239,11914,11914
19,SCA CIP,76954,48231,48231
19,SCA CIP,1442894,1442894,14925
19,SCA CIP,89780,89780,21832
19,SCA CIP,225000,225000,5776
19,SCA CIP,900000,900000,23103
19,SCA CIP,16875000,16875000,0
19,SCA CIP,1050000,1050000,1127
19,SCA CIP RESOA,0,0,0
19,SCA CIP RESOA,26700,26700,0
19,SCA CIP RESOA,391600,391600,0
19,SCA CIP RESOA,26700,26700,0
19,SCA CIP RESOA,0,0,0
19,SCA CIP RESOA,30000,30000,0
19,SCA CIP RESOA,440000,440000,0
19,SCA CIP RESOA,30000,30000,0
19,SCA IEH,IEH,16180,6217
19,SCA CIP RESOA,0,0,0
19,SCA CIP RESOA,12000,12000,0
19,SCA CIP RESOA,176000,176000,0
19,SCA CIP RESOA,12000,12000,0
19,SCA CIP,6412,15320,15320
19,SCA CIP,23511,86996,86996
19,SCA CIP,248999,228553,328
19,SCA CIP,241986,207734,28605
19,SCA CIP,73554,38114,38114
19,SCA CIP,294215,117090,104655
19,SCA CIP,5516525,5516525,11224
19,SCA CIP,343250,343250,32147
19,SCA CIP RESOA,0,36347,36347
19,SCA CIP RESOA,102518,145704,145704
19,SCA CIP RESOA,1503591,1478004,1039134
19,SCA CIP RESOA,102518,258855,194147
19,SCA CIP RESOA,0,0,0
19,SCA CIP RESOA,30000,92475,0
19,SCA CIP RESOA,440000,1356300,0
19,SCA CIP RESOA,30000,92475,0
19,SCA CIP RESOA,PNB,0,0
19,SCA CIP RESOA,PNB,0,0
19,SCA CIP RESOA,PNB,0,0
19,SCA CIP RESOA,PNB,0,0
19,SCA IEH,IEH,77881,12771
19,SCA IEH,IEH,87953,3346
19,DIIT - Project Conne,DIIT,107702,0
19,SCA Capacity,2007975,1155093,496340
19,SCA Capacity,6425521,6425521,96876
19,SCA Capacity,90117936,90117936,89423
19,SCA Capacity,12690405,12690405,72204
19,SCA CIP,12600,14268,14268
19,SCA CIP,46200,43767,36772
19,SCA CIP,489300,472050,10898
19,SCA CIP,113400,54999,20978
19,SCA CIP,14010,16590,16590
19,SCA CIP,51370,66426,66426
19,SCA CIP,544055,503074,11904
19,SCA CIP,126090,61127,10691
24,SCA CIP RESOA,0,0,0
24,SCA CIP RESOA,13500,13500,0
24,SCA CIP RESOA,198000,198000,0
24,SCA CIP RESOA,13500,13500,0
24,DIIT - RESOA,35000,34737,34737
24,SCA Capacity,1537000,1341679,1340005
24,SCA Capacity,5763750,5801587,5291844
24,SCA Capacity,86456250,79103198,75806357
24,SCA Capacity,11243250,7054743,5380205
24,DIIT - RESOA,35000,34732,34732
24,SCA CIP,82610,137037,14387
24,SCA CIP,330438,402376,49795
24,SCA CIP,6195715,6195715,3021
24,SCA CIP,389592,389592,62332
24,PRE-K,85714,75807,75807
24,PRE-K,274286,226896,226896
24,PRE-K,3846857,3846857,36851
24,PRE-K,541714,541714,15092
24,PRE-K,224813,157064,157064
24,PRE-K,719400,776572,664236
24,PRE-K,10089585,9106745,7764484
24,PRE-K,1420815,1410457,1110029
24,PRE-K,89190,14699,6069
24,PRE-K,285409,285409,46710
24,PRE-K,4002857,4002857,8596
24,PRE-K,563682,563682,8458
24,SCA Capacity,1822787,577130,501903
24,SCA Capacity,5832918,1925314,1606343
24,SCA Capacity,81806672,81806672,141080
24,SCA Capacity,11520013,11520013,140841
24,SCA CIP,93360,45087,45087
24,SCA CIP,373440,184056,184056
24,SCA CIP,7002000,6469408,1159627
24,SCA CIP,435680,132784,113358
24,PRE-K,54494,103333,103050
24,PRE-K,174381,174381,169801
24,PRE-K,2445696,2445696,46925
24,PRE-K,344403,344403,32266
24,PRE-K,109174,71416,71416
24,PRE-K,349357,383095,331022
24,PRE-K,4899736,4442899,4301276
24,PRE-K,718188,831771,624106
24,DOE Managed PREK,0,598546,574919
24,SCA CIP,16240,17208,15984
24,SCA CIP,64959,50127,42627
24,SCA CIP,1217972,1217972,2909
24,SCA CIP,75785,75785,9141
24,SCA CIP RESOA,0,0,0
24,SCA CIP RESOA,90000,90000,0
24,SCA CIP RESOA,1320000,1320000,0
24,SCA CIP RESOA,90000,90000,0
24,SCA IEH,IEH,4798,298
24,SCA IEH,IEH,41814,470
24,DOE - Skilled Trades,DOES,170000,470
24,SCA CIP RESOA,0,0,0
24,SCA CIP RESOA,30000,30000,0
24,SCA CIP RESOA,440000,440000,0
24,SCA CIP RESOA,30000,30000,0
24,DIIT - RESOA,125000,124062,124062
24,SCA CIP RESOA,0,0,0
24,SCA CIP RESOA,6000,6000,0
24,SCA CIP RESOA,88000,88000,0
24,SCA CIP RESOA,6000,6000,0
24,DIIT - Project Conne,DIIT,189121,0
24,SCA CIP,287957,243017,241089
24,SCA CIP,1139270,927903,903773
24,SCA CIP,20234144,19015614,13247721
24,SCA CIP,1507064,547611,469212
24,DIIT - RESOA,50000,49624,49624
24,SCA CIP,27825,103524,92755
24,SCA CIP,111300,72530,59541
24,SCA CIP,2086875,1884521,25221
24,SCA CIP,129850,44456,24544
24,DIIT - RESOA,80000,79394,79394
24,DOE - Skilled Trades,DOES,153599,153599
24,SCA CIP,64500,18503,18503
24,SCA CIP,258000,94072,94072
24,SCA CIP,4837501,4343328,328
24,SCA CIP,301000,31238,10920
24,SCA CIP RESOA,0,7358,7358
24,SCA CIP RESOA,13125,28614,28577
24,SCA CIP RESOA,192493,165852,103597
24,SCA CIP RESOA,13125,32640,27928
24,DOE- RESOA,0,12570,0
24,DIIT - RESOA,35000,34738,34738
24,DIIT - RESOA,35000,33858,33858
24,DIIT - RESOA,35000,34729,34729
24,SCA CIP RESOA,0,0,0
24,SCA CIP RESOA,30000,30000,0
24,SCA CIP RESOA,440000,440000,0
24,SCA CIP RESOA,30000,30000,0
24,SCA CIP RESOA,0,0,0
24,SCA CIP RESOA,30000,30000,0
24,SCA CIP RESOA,440000,440000,0
24,SCA CIP RESOA,30000,30000,0
24,DIIT - Project Conne,DIIT,84233,0
24,DOE - Lead Paint,DOEL,18334,18334
24,SCA CIP RESOA,0,0,0
24,SCA CIP RESOA,9000,17586,0
24,SCA CIP RESOA,132000,257931,0
24,SCA CIP RESOA,9000,17586,0
24,SCA Lease Site Impro,149308,114011,111611
24,SCA Lease Site Impro,477784,469737,465795
24,SCA Lease Site Impro,6700921,6121968,662775
24,SCA Lease Site Impro,943623,406682,91356
25,SCA CIP,60491,25193,25193
25,SCA CIP,241964,292371,287442
25,SCA CIP,4536834,4536834,15983
25,SCA CIP,282292,282292,23535
25,SCA CIP,25495,25495,68
25,SCA CIP,93482,93482,273
25,SCA CIP RESOA,0,12302,1248
25,SCA CIP RESOA,21600,22284,4990
25,SCA CIP RESOA,316800,309519,0
25,SCA CIP RESOA,21600,25441,3265
25,SCA IEH,IEH,137839,80596
25,SCA IEH,IEH,13591,2330
25,SCA CIP RESOA,0,34,34
25,SCA CIP RESOA,15000,14966,137
25,SCA CIP RESOA,220000,220000,0
25,SCA CIP RESOA,15000,15000,0
25,SCA CIP RESOA,0,0,0
25,SCA CIP RESOA,66000,66000,0
19,SCA IEH,IEH,14302,5274
19,DIIT - PBX Telephone,DIIX,329120,329120
19,SCA CIP,13137,14538,14538
19,SCA CIP,48169,55467,44055
19,SCA CIP,510154,448629,0
19,SCA CIP,118233,49342,1924
19,SCA Capacity,1925779,1418965,1408985
19,SCA Capacity,6162493,2068009,1322249
19,SCA Capacity,86428968,86428968,627109
19,SCA Capacity,12170924,12170924,335538
19,SCA Capacity,374200,20931,8526
19,SCA Capacity,1197440,104513,45092
19,SCA Capacity,16794096,15003111,2733452
19,SCA Capacity,2364944,788042,38740
19,DIIT - Project Conne,DIIT,208842,0
19,DIIT - PBX Telephone,DIIX,164632,108655
19,DIIT - RESOA,35000,34737,34737
19,SCA CIP RESOA,0,13029,13029
19,SCA CIP RESOA,31410,54274,54182
19,SCA CIP RESOA,460680,374001,286595
19,SCA CIP RESOA,85772,96859,77591
20,SCA CIP,162000,108589,107381
20,SCA CIP,648000,151846,139191
20,SCA CIP,12150000,11198205,309751
20,SCA CIP,756000,69592,69014
20,DIIT - RESOA,50000,49585,49585
20,DOE - Lead Paint,DOEL,500,0
20,SCA CIP,75572,75572,150
20,SCA CIP,302287,302287,603
20,SCA CIP,5667892,5667892,0
20,SCA CIP,352669,352669,0
20,SCA CIP RESOA,0,188,188
20,SCA CIP RESOA,10800,10612,751
20,SCA CIP RESOA,158400,158400,0
20,SCA CIP RESOA,10800,10800,0
20,SCA IEH,IEH,16400,2900
20,SCA IEH,IEH,19793,816
20,SCA Furniture & Equi,100000,100000,100000
20,SCA CIP,172005,77016,75878
20,SCA CIP,688019,273923,242590
20,SCA CIP,12900376,12338939,983493
20,SCA CIP,802690,150963,121329
20,SCA IEH,IEH,10322,1622
20,DOE - Skilled Trades,DOES,170000,742
20,SCA CIP,178331,164407,164158
20,SCA CIP,699647,453232,332403
20,SCA Capacity,200326,200326,21888
20,SCA CIP,11890834,11240414,2547349
20,SCA CIP,1010017,222436,218763
20,SCA CIP,97316,76522,73607
20,SCA CIP,389263,156613,156315
20,SCA CIP,7298683,7298683,39549
20,SCA CIP,454141,454141,33157
20,SCA IEH,IEH,53577,2238
20,DOE- RESOA,150000,60910,60910
20,SCA CIP,115451,77793,73475
20,SCA CIP,449939,322247,256844
20,SCA CIP,7371220,6688903,49258
20,SCA CIP,693055,119102,118909
20,DIIT - Project Conne,DIIT,375452,0
20,DOE- RESOA,91578,91578,0
20,DOE- RESOA,150000,150000,0
20,SCA CIP,23684,44083,44083
20,SCA CIP,94735,126933,126933
20,SCA CIP,1776278,1422243,72548
20,SCA CIP,110524,80632,78989
20,SCA CIP RESOA,0,0,0
20,SCA CIP RESOA,3000,3000,0
20,SCA CIP RESOA,44000,44000,0
20,SCA CIP RESOA,3000,3000,0
20,SCA Capacity,1646906,789687,667737
20,SCA Capacity,5270100,5270100,592479
20,SCA Capacity,73913156,73913156,78706
20,SCA Capacity,10408448,10408448,175266
20,SCA Capacity,31697,2555,2555
20,SCA Capacity,101431,10411,10411
20,SCA Capacity,1422569,1422569,5227
20,SCA CIP,57184,109221,105590
20,SCA CIP,219932,272083,178408
20,SCA CIP,3333467,3333467,22133
20,SCA CIP,381326,381326,12875
20,SCA CIP,117683,4287,4287
20,SCA CIP,460921,460921,17146
20,SCA CIP,7761951,7761951,0
20,SCA CIP,676696,676696,11869
20,SCA CIP,12975,1845,1845
20,SCA CIP,47576,47576,7379
20,SCA CIP,503871,503871,0
20,SCA CIP,116777,116777,5013
20,SCA IEH,IEH,61096,5400
20,DIIT - Project Conne,DIIT,244236,0
20,SCA CIP,103463,93179,85904
20,SCA CIP,401879,289650,226351
20,SCA CIP,6460834,6001499,5080107
20,SCA CIP,638444,650476,647909
20,SCA IEH,IEH,6677,177
20,SCA IEH,IEH,27000,2544
20,DIIT - Project Conne,DIIT,292442,0
20,SCA CIP RESOA,0,9314,1576
20,SCA CIP RESOA,18000,27306,16338
20,SCA CIP RESOA,264000,264000,9142
20,SCA CIP RESOA,18000,18000,4677
20,SCA IEH,IEH,5100,0
20,SCA CIP,118917,153127,146000
20,SCA CIP,462362,250782,247578
20,SCA CIP,7474859,6799332,53614
20,SCA CIP,727957,94304,94304
20,DIIT - RESOA,50000,49624,49624
20,DOE - Lead Paint,DOEL,500,0
20,DOE- RESOA,200000,56808,56808
20,SCA CIP,36736,91246,88818
20,SCA CIP,146942,152244,125789
20,SCA CIP,2755167,2540720,19981
20,SCA CIP,171433,179388,179264
20,SCA CIP RESOA,0,0,0
20,SCA CIP RESOA,20880,20880,0
20,SCA CIP RESOA,306240,306240,0
20,SCA CIP RESOA,20880,20880,0
20,SCA IEH,IEH,36459,2911
25,SCA CIP RESOA,968000,968000,0
25,SCA CIP RESOA,66000,66000,0
25,DOE- RESOA,100000,100000,0
25,DOE- RESOA,150000,120619,120619
25,DOE - Skilled Trades,DOES,170000,2003
25,SCA CIP RESOA,0,2454,2454
25,SCA CIP RESOA,20820,18366,9817
25,SCA CIP RESOA,305360,305360,0
25,SCA CIP RESOA,65314,65314,391
25,DIIT - Project Conne,DIIT,25707,0
25,DOE - Skilled Trades,DOES,90882,0
25,SCA Capacity,2061275,1617795,1616445
25,SCA Capacity,6596080,5138217,3371532
25,SCA Capacity,92510022,84913231,21915106
25,SCA Capacity,13027258,6315695,2015336
25,SCA CIP RESOA,0,8707,329
25,SCA CIP RESOA,21000,1314,1314
25,SCA CIP RESOA,308000,308000,0
25,SCA CIP RESOA,21000,21000,2669
25,DIIT - RESOA,50000,50000,49624
25,DOE- RESOA,50000,75855,75855
25,DOE - Skilled Trades,DOES,45930,45930
25,DOE - Skilled Trades,DOES,170000,1905
25,SCA CIP,46503,46503,0
25,SCA CIP,181025,181025,0
25,SCA CIP,2946759,2946759,0
25,SCA CIP,281827,281827,0
25,SCA CIP RESOA,0,9557,9557
25,SCA CIP RESOA,23625,36306,32646
25,SCA CIP RESOA,346500,318903,828
25,SCA CIP RESOA,23625,28708,7070
25,DIIT - RESOA,35000,34738,34738
25,DIIT - RESOA,50000,49624,49624
25,SCA CIP RESOA,0,11477,11477
25,SCA CIP RESOA,15000,4528,4528
25,SCA CIP RESOA,220000,220000,114
25,SCA CIP RESOA,15000,15000,3322
25,DOE - Skilled Trades,DOES,70830,70830
25,SCA CIP,123965,133085,133085
25,SCA CIP,495862,495862,19950
25,SCA CIP,9297400,9297400,0
25,SCA CIP,578505,578505,5508
25,SCA CIP,124445,138155,131011
25,SCA CIP,497777,497777,213309
25,SCA CIP,9333328,9333328,13396
25,SCA CIP,580741,580741,11351
25,DOE- RESOA,200000,200000,52156
25,SCA IEH,IEH,59699,4520
25,Trust For Public Lan,50000,50000,50000
25,Trust For Public Lan,150000,150000,150000
25,Trust For Public Lan,880000,880000,880549
25,Trust For Public Lan,134000,134000,134000
25,SCA Capacity,1022850,1182834,1153935
25,SCA Capacity,3273119,1765479,1411589
25,SCA Capacity,45905488,45905488,53539
25,SCA Capacity,6464409,6464409,152364
25,SCA CIP,25380,54823,3613
